station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,22:46
002 Comédie,13,11,24,2022,01-15,22:46
003 Esplanade,0,32,32,2022,01-15,22:46
004 Hôtel de Ville,7,9,16,2022,01-15,22:46
005 Corum,7,5,12,2022,01-15,22:46
006 Place Albert 1er - St Charles,8,23,31,2022,01-15,22:46
007 Foch,1,7,8,2022,01-15,22:46
008 Halles Castellane,2,10,12,2022,01-15,22:46
009 Observatoire,7,1,8,2022,01-15,22:46
010 Rondelet,4,12,16,2022,01-15,22:46
011 Plan Cabanes,5,7,12,2022,01-15,22:46
012 Boutonnet,4,8,12,2022,01-15,22:46
013 Emile Combes,6,2,8,2022,01-15,22:46
014 Beaux-Arts,6,2,8,2022,01-15,22:46
015 Les Aubes,7,1,8,2022,01-15,22:46
016 Antigone centre,6,10,16,2022,01-15,22:46
017 Médiathèque Emile Zola,7,9,16,2022,01-15,22:46
018 Nombre d'Or,8,8,16,2022,01-15,22:46
019 Louis Blanc,2,14,16,2022,01-15,22:46
020 Gambetta,3,5,8,2022,01-15,22:46
021 Port Marianne,14,2,16,2022,01-15,22:46
022 Clemenceau,0,12,12,2022,01-15,22:46
023 Les Arceaux,6,10,16,2022,01-15,22:46
024 Cité Mion,4,4,8,2022,01-15,22:46
025 Nouveau Saint-Roch,4,4,8,2022,01-15,22:46
026 Renouvier,3,5,8,2022,01-15,22:46
027 Odysseum,5,3,8,2022,01-15,22:46
028 Saint-Denis,3,5,8,2022,01-15,22:46
029 Richter,13,3,16,2022,01-15,22:46
030 Charles Flahault,3,5,8,2022,01-15,22:46
031 Voltaire,6,2,8,2022,01-15,22:46
032 Prés d'Arènes,8,0,8,2022,01-15,22:46
033 Garcia Lorca,7,1,8,2022,01-15,22:46
034 Vert Bois,0,16,16,2022,01-15,22:46
035 Malbosc,3,5,8,2022,01-15,22:46
036 Occitanie,2,30,32,2022,01-15,22:46
037 FacdesSciences,1,23,24,2022,01-15,22:46
038 Fac de Lettres,0,16,16,2022,01-15,22:46
039 Aiguelongue,8,0,8,2022,01-15,22:46
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,22:46
041 Euromédecine,3,5,8,2022,01-15,22:46
042 Marie Caizergues,0,8,8,2022,01-15,22:46
043 Sabines,6,2,8,2022,01-15,22:46
044 Celleneuve,6,2,8,2022,01-15,22:46
045 Jardin de la Lironde,4,4,8,2022,01-15,22:46
046 Père Soulas,2,6,8,2022,01-15,22:46
047 Place Viala,7,1,8,2022,01-15,22:46
048 Hôtel du Département,2,6,8,2022,01-15,22:46
049 Tonnelles,0,8,8,2022,01-15,22:46
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,22:46
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,22:46
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,22:46
054 Providence - Ovalie,0,8,8,2022,01-15,22:46
055 Pérols Etang de l'Or,23,45,68,2022,01-15,22:46
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,22:46
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,22:46
059 Sud De France,1,7,8,2022,01-15,22:46
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,22:51
002 Comédie,13,11,24,2022,01-15,22:51
003 Esplanade,0,32,32,2022,01-15,22:51
004 Hôtel de Ville,7,9,16,2022,01-15,22:51
005 Corum,8,4,12,2022,01-15,22:51
006 Place Albert 1er - St Charles,8,23,31,2022,01-15,22:51
007 Foch,1,7,8,2022,01-15,22:51
008 Halles Castellane,2,10,12,2022,01-15,22:51
009 Observatoire,7,1,8,2022,01-15,22:51
010 Rondelet,4,12,16,2022,01-15,22:51
011 Plan Cabanes,6,6,12,2022,01-15,22:51
012 Boutonnet,4,8,12,2022,01-15,22:51
013 Emile Combes,6,2,8,2022,01-15,22:51
014 Beaux-Arts,6,2,8,2022,01-15,22:51
015 Les Aubes,7,1,8,2022,01-15,22:51
016 Antigone centre,6,10,16,2022,01-15,22:51
017 Médiathèque Emile Zola,7,9,16,2022,01-15,22:51
018 Nombre d'Or,8,8,16,2022,01-15,22:51
019 Louis Blanc,2,14,16,2022,01-15,22:51
020 Gambetta,3,5,8,2022,01-15,22:51
021 Port Marianne,14,2,16,2022,01-15,22:51
022 Clemenceau,0,12,12,2022,01-15,22:51
023 Les Arceaux,8,8,16,2022,01-15,22:51
024 Cité Mion,4,4,8,2022,01-15,22:51
025 Nouveau Saint-Roch,4,4,8,2022,01-15,22:51
026 Renouvier,3,5,8,2022,01-15,22:51
027 Odysseum,6,2,8,2022,01-15,22:51
028 Saint-Denis,4,4,8,2022,01-15,22:51
029 Richter,13,3,16,2022,01-15,22:51
030 Charles Flahault,3,5,8,2022,01-15,22:51
031 Voltaire,6,2,8,2022,01-15,22:51
032 Prés d'Arènes,8,0,8,2022,01-15,22:51
033 Garcia Lorca,7,1,8,2022,01-15,22:51
034 Vert Bois,0,16,16,2022,01-15,22:51
035 Malbosc,3,5,8,2022,01-15,22:51
036 Occitanie,2,30,32,2022,01-15,22:51
037 FacdesSciences,1,23,24,2022,01-15,22:51
038 Fac de Lettres,0,16,16,2022,01-15,22:51
039 Aiguelongue,8,0,8,2022,01-15,22:51
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,22:51
041 Euromédecine,3,5,8,2022,01-15,22:51
042 Marie Caizergues,0,8,8,2022,01-15,22:51
043 Sabines,6,2,8,2022,01-15,22:51
044 Celleneuve,6,2,8,2022,01-15,22:51
045 Jardin de la Lironde,4,4,8,2022,01-15,22:51
046 Père Soulas,3,5,8,2022,01-15,22:51
047 Place Viala,7,1,8,2022,01-15,22:51
048 Hôtel du Département,2,6,8,2022,01-15,22:51
049 Tonnelles,0,8,8,2022,01-15,22:51
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,22:51
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,22:51
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,22:51
054 Providence - Ovalie,0,8,8,2022,01-15,22:51
055 Pérols Etang de l'Or,23,45,68,2022,01-15,22:51
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,22:51
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,22:51
059 Sud De France,1,7,8,2022,01-15,22:51
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,22:56
002 Comédie,13,11,24,2022,01-15,22:56
003 Esplanade,0,32,32,2022,01-15,22:56
004 Hôtel de Ville,7,9,16,2022,01-15,22:56
005 Corum,8,4,12,2022,01-15,22:56
006 Place Albert 1er - St Charles,8,23,31,2022,01-15,22:56
007 Foch,1,7,8,2022,01-15,22:56
008 Halles Castellane,2,10,12,2022,01-15,22:56
009 Observatoire,7,1,8,2022,01-15,22:56
010 Rondelet,4,12,16,2022,01-15,22:56
011 Plan Cabanes,6,6,12,2022,01-15,22:56
012 Boutonnet,4,8,12,2022,01-15,22:56
013 Emile Combes,6,2,8,2022,01-15,22:56
014 Beaux-Arts,6,2,8,2022,01-15,22:56
015 Les Aubes,7,1,8,2022,01-15,22:56
016 Antigone centre,6,10,16,2022,01-15,22:56
017 Médiathèque Emile Zola,7,9,16,2022,01-15,22:56
018 Nombre d'Or,8,8,16,2022,01-15,22:56
019 Louis Blanc,2,14,16,2022,01-15,22:56
020 Gambetta,3,5,8,2022,01-15,22:56
021 Port Marianne,14,2,16,2022,01-15,22:56
022 Clemenceau,0,12,12,2022,01-15,22:56
023 Les Arceaux,7,9,16,2022,01-15,22:56
024 Cité Mion,4,4,8,2022,01-15,22:56
025 Nouveau Saint-Roch,4,4,8,2022,01-15,22:56
026 Renouvier,3,5,8,2022,01-15,22:56
027 Odysseum,6,2,8,2022,01-15,22:56
028 Saint-Denis,4,4,8,2022,01-15,22:56
029 Richter,13,3,16,2022,01-15,22:56
030 Charles Flahault,3,5,8,2022,01-15,22:56
031 Voltaire,6,2,8,2022,01-15,22:56
032 Prés d'Arènes,8,0,8,2022,01-15,22:56
033 Garcia Lorca,7,1,8,2022,01-15,22:56
034 Vert Bois,0,16,16,2022,01-15,22:56
035 Malbosc,3,5,8,2022,01-15,22:56
036 Occitanie,2,30,32,2022,01-15,22:56
037 FacdesSciences,2,22,24,2022,01-15,22:56
038 Fac de Lettres,0,16,16,2022,01-15,22:56
039 Aiguelongue,8,0,8,2022,01-15,22:56
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,22:56
041 Euromédecine,3,5,8,2022,01-15,22:56
042 Marie Caizergues,0,8,8,2022,01-15,22:56
043 Sabines,6,2,8,2022,01-15,22:56
044 Celleneuve,6,2,8,2022,01-15,22:56
045 Jardin de la Lironde,4,4,8,2022,01-15,22:56
046 Père Soulas,3,5,8,2022,01-15,22:56
047 Place Viala,7,1,8,2022,01-15,22:56
048 Hôtel du Département,2,6,8,2022,01-15,22:56
049 Tonnelles,0,8,8,2022,01-15,22:56
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,22:56
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,22:56
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,22:56
054 Providence - Ovalie,0,8,8,2022,01-15,22:56
055 Pérols Etang de l'Or,23,45,68,2022,01-15,22:56
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,22:56
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,22:56
059 Sud De France,1,7,8,2022,01-15,22:56
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:01
002 Comédie,13,11,24,2022,01-15,23:01
003 Esplanade,0,32,32,2022,01-15,23:01
004 Hôtel de Ville,7,9,16,2022,01-15,23:01
005 Corum,8,4,12,2022,01-15,23:01
006 Place Albert 1er - St Charles,8,23,31,2022,01-15,23:01
007 Foch,1,7,8,2022,01-15,23:01
008 Halles Castellane,2,10,12,2022,01-15,23:01
009 Observatoire,7,1,8,2022,01-15,23:01
010 Rondelet,4,12,16,2022,01-15,23:01
011 Plan Cabanes,6,6,12,2022,01-15,23:01
012 Boutonnet,4,8,12,2022,01-15,23:01
013 Emile Combes,6,2,8,2022,01-15,23:01
014 Beaux-Arts,6,2,8,2022,01-15,23:01
015 Les Aubes,7,1,8,2022,01-15,23:01
016 Antigone centre,6,10,16,2022,01-15,23:01
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:01
018 Nombre d'Or,8,8,16,2022,01-15,23:01
019 Louis Blanc,2,14,16,2022,01-15,23:01
020 Gambetta,4,4,8,2022,01-15,23:01
021 Port Marianne,14,2,16,2022,01-15,23:01
022 Clemenceau,0,12,12,2022,01-15,23:01
023 Les Arceaux,7,9,16,2022,01-15,23:01
024 Cité Mion,4,4,8,2022,01-15,23:01
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:01
026 Renouvier,3,5,8,2022,01-15,23:01
027 Odysseum,6,2,8,2022,01-15,23:01
028 Saint-Denis,4,4,8,2022,01-15,23:01
029 Richter,13,3,16,2022,01-15,23:01
030 Charles Flahault,3,5,8,2022,01-15,23:01
031 Voltaire,6,2,8,2022,01-15,23:01
032 Prés d'Arènes,8,0,8,2022,01-15,23:01
033 Garcia Lorca,7,1,8,2022,01-15,23:01
034 Vert Bois,0,16,16,2022,01-15,23:01
035 Malbosc,3,5,8,2022,01-15,23:01
036 Occitanie,2,30,32,2022,01-15,23:01
037 FacdesSciences,2,22,24,2022,01-15,23:01
038 Fac de Lettres,0,16,16,2022,01-15,23:01
039 Aiguelongue,8,0,8,2022,01-15,23:01
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:01
041 Euromédecine,3,5,8,2022,01-15,23:01
042 Marie Caizergues,0,8,8,2022,01-15,23:01
043 Sabines,6,2,8,2022,01-15,23:01
044 Celleneuve,6,2,8,2022,01-15,23:01
045 Jardin de la Lironde,4,4,8,2022,01-15,23:01
046 Père Soulas,1,7,8,2022,01-15,23:01
047 Place Viala,7,1,8,2022,01-15,23:01
048 Hôtel du Département,2,6,8,2022,01-15,23:01
049 Tonnelles,0,8,8,2022,01-15,23:01
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:01
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,23:01
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:01
054 Providence - Ovalie,0,8,8,2022,01-15,23:01
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:01
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:01
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,23:01
059 Sud De France,1,7,8,2022,01-15,23:01
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:06
002 Comédie,13,11,24,2022,01-15,23:06
003 Esplanade,0,32,32,2022,01-15,23:06
004 Hôtel de Ville,7,9,16,2022,01-15,23:06
005 Corum,8,4,12,2022,01-15,23:06
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:06
007 Foch,1,7,8,2022,01-15,23:06
008 Halles Castellane,0,12,12,2022,01-15,23:06
009 Observatoire,7,1,8,2022,01-15,23:06
010 Rondelet,4,12,16,2022,01-15,23:06
011 Plan Cabanes,6,6,12,2022,01-15,23:06
012 Boutonnet,4,8,12,2022,01-15,23:06
013 Emile Combes,6,2,8,2022,01-15,23:06
014 Beaux-Arts,6,2,8,2022,01-15,23:06
015 Les Aubes,7,1,8,2022,01-15,23:06
016 Antigone centre,6,10,16,2022,01-15,23:06
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:06
018 Nombre d'Or,8,8,16,2022,01-15,23:06
019 Louis Blanc,2,14,16,2022,01-15,23:06
020 Gambetta,4,4,8,2022,01-15,23:06
021 Port Marianne,13,3,16,2022,01-15,23:06
022 Clemenceau,0,12,12,2022,01-15,23:06
023 Les Arceaux,7,9,16,2022,01-15,23:06
024 Cité Mion,4,4,8,2022,01-15,23:06
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:06
026 Renouvier,3,5,8,2022,01-15,23:06
027 Odysseum,6,2,8,2022,01-15,23:06
028 Saint-Denis,4,4,8,2022,01-15,23:06
029 Richter,13,3,16,2022,01-15,23:06
030 Charles Flahault,3,5,8,2022,01-15,23:06
031 Voltaire,6,2,8,2022,01-15,23:06
032 Prés d'Arènes,8,0,8,2022,01-15,23:06
033 Garcia Lorca,7,1,8,2022,01-15,23:06
034 Vert Bois,0,16,16,2022,01-15,23:06
035 Malbosc,3,5,8,2022,01-15,23:06
036 Occitanie,2,30,32,2022,01-15,23:06
037 FacdesSciences,2,22,24,2022,01-15,23:06
038 Fac de Lettres,0,16,16,2022,01-15,23:06
039 Aiguelongue,8,0,8,2022,01-15,23:06
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:06
041 Euromédecine,3,5,8,2022,01-15,23:06
042 Marie Caizergues,0,8,8,2022,01-15,23:06
043 Sabines,6,2,8,2022,01-15,23:06
044 Celleneuve,6,2,8,2022,01-15,23:06
045 Jardin de la Lironde,4,4,8,2022,01-15,23:06
046 Père Soulas,1,7,8,2022,01-15,23:06
047 Place Viala,7,1,8,2022,01-15,23:06
048 Hôtel du Département,2,6,8,2022,01-15,23:06
049 Tonnelles,0,8,8,2022,01-15,23:06
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:06
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,23:06
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:06
054 Providence - Ovalie,0,8,8,2022,01-15,23:06
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:06
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:06
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,23:06
059 Sud De France,1,7,8,2022,01-15,23:06
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:11
002 Comédie,13,11,24,2022,01-15,23:11
003 Esplanade,0,32,32,2022,01-15,23:11
004 Hôtel de Ville,7,9,16,2022,01-15,23:11
005 Corum,8,4,12,2022,01-15,23:11
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:11
007 Foch,1,7,8,2022,01-15,23:11
008 Halles Castellane,0,12,12,2022,01-15,23:11
009 Observatoire,7,1,8,2022,01-15,23:11
010 Rondelet,2,14,16,2022,01-15,23:11
011 Plan Cabanes,6,6,12,2022,01-15,23:11
012 Boutonnet,4,8,12,2022,01-15,23:11
013 Emile Combes,6,2,8,2022,01-15,23:11
014 Beaux-Arts,6,2,8,2022,01-15,23:11
015 Les Aubes,7,1,8,2022,01-15,23:11
016 Antigone centre,6,10,16,2022,01-15,23:11
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:11
018 Nombre d'Or,8,8,16,2022,01-15,23:11
019 Louis Blanc,2,14,16,2022,01-15,23:11
020 Gambetta,4,4,8,2022,01-15,23:11
021 Port Marianne,13,3,16,2022,01-15,23:11
022 Clemenceau,0,12,12,2022,01-15,23:11
023 Les Arceaux,7,9,16,2022,01-15,23:11
024 Cité Mion,4,4,8,2022,01-15,23:11
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:11
026 Renouvier,3,5,8,2022,01-15,23:11
027 Odysseum,6,2,8,2022,01-15,23:11
028 Saint-Denis,4,4,8,2022,01-15,23:11
029 Richter,13,3,16,2022,01-15,23:11
030 Charles Flahault,3,5,8,2022,01-15,23:11
031 Voltaire,6,2,8,2022,01-15,23:11
032 Prés d'Arènes,8,0,8,2022,01-15,23:11
033 Garcia Lorca,7,1,8,2022,01-15,23:11
034 Vert Bois,0,16,16,2022,01-15,23:11
035 Malbosc,3,5,8,2022,01-15,23:11
036 Occitanie,2,30,32,2022,01-15,23:11
037 FacdesSciences,2,22,24,2022,01-15,23:11
038 Fac de Lettres,0,16,16,2022,01-15,23:11
039 Aiguelongue,8,0,8,2022,01-15,23:11
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:11
041 Euromédecine,3,5,8,2022,01-15,23:11
042 Marie Caizergues,0,8,8,2022,01-15,23:11
043 Sabines,6,2,8,2022,01-15,23:11
044 Celleneuve,6,2,8,2022,01-15,23:11
045 Jardin de la Lironde,4,4,8,2022,01-15,23:11
046 Père Soulas,1,7,8,2022,01-15,23:11
047 Place Viala,7,1,8,2022,01-15,23:11
048 Hôtel du Département,2,6,8,2022,01-15,23:11
049 Tonnelles,0,8,8,2022,01-15,23:11
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:11
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,23:11
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:11
054 Providence - Ovalie,0,8,8,2022,01-15,23:11
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:11
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:11
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,23:11
059 Sud De France,1,7,8,2022,01-15,23:11
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:16
002 Comédie,13,11,24,2022,01-15,23:16
003 Esplanade,0,32,32,2022,01-15,23:16
004 Hôtel de Ville,7,9,16,2022,01-15,23:16
005 Corum,8,4,12,2022,01-15,23:16
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:16
007 Foch,1,7,8,2022,01-15,23:16
008 Halles Castellane,0,12,12,2022,01-15,23:16
009 Observatoire,7,1,8,2022,01-15,23:16
010 Rondelet,2,14,16,2022,01-15,23:16
011 Plan Cabanes,6,6,12,2022,01-15,23:16
012 Boutonnet,4,8,12,2022,01-15,23:16
013 Emile Combes,6,2,8,2022,01-15,23:16
014 Beaux-Arts,6,2,8,2022,01-15,23:16
015 Les Aubes,7,1,8,2022,01-15,23:16
016 Antigone centre,6,10,16,2022,01-15,23:16
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:16
018 Nombre d'Or,8,8,16,2022,01-15,23:16
019 Louis Blanc,4,12,16,2022,01-15,23:16
020 Gambetta,4,4,8,2022,01-15,23:16
021 Port Marianne,13,3,16,2022,01-15,23:16
022 Clemenceau,0,12,12,2022,01-15,23:16
023 Les Arceaux,7,9,16,2022,01-15,23:16
024 Cité Mion,4,4,8,2022,01-15,23:16
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:16
026 Renouvier,3,5,8,2022,01-15,23:16
027 Odysseum,6,2,8,2022,01-15,23:16
028 Saint-Denis,4,4,8,2022,01-15,23:16
029 Richter,13,3,16,2022,01-15,23:16
030 Charles Flahault,3,5,8,2022,01-15,23:16
031 Voltaire,6,2,8,2022,01-15,23:16
032 Prés d'Arènes,8,0,8,2022,01-15,23:16
033 Garcia Lorca,7,1,8,2022,01-15,23:16
034 Vert Bois,0,16,16,2022,01-15,23:16
035 Malbosc,3,5,8,2022,01-15,23:16
036 Occitanie,2,30,32,2022,01-15,23:16
037 FacdesSciences,2,22,24,2022,01-15,23:16
038 Fac de Lettres,0,16,16,2022,01-15,23:16
039 Aiguelongue,8,0,8,2022,01-15,23:16
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:16
041 Euromédecine,3,5,8,2022,01-15,23:16
042 Marie Caizergues,0,8,8,2022,01-15,23:16
043 Sabines,6,2,8,2022,01-15,23:16
044 Celleneuve,6,2,8,2022,01-15,23:16
045 Jardin de la Lironde,4,4,8,2022,01-15,23:16
046 Père Soulas,1,7,8,2022,01-15,23:16
047 Place Viala,7,1,8,2022,01-15,23:16
048 Hôtel du Département,2,6,8,2022,01-15,23:16
049 Tonnelles,0,8,8,2022,01-15,23:16
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:16
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,23:16
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:16
054 Providence - Ovalie,0,8,8,2022,01-15,23:16
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:16
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:16
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,23:16
059 Sud De France,1,7,8,2022,01-15,23:16
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:21
002 Comédie,13,11,24,2022,01-15,23:21
003 Esplanade,0,32,32,2022,01-15,23:21
004 Hôtel de Ville,7,9,16,2022,01-15,23:21
005 Corum,8,4,12,2022,01-15,23:21
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:21
007 Foch,1,7,8,2022,01-15,23:21
008 Halles Castellane,0,12,12,2022,01-15,23:21
009 Observatoire,8,0,8,2022,01-15,23:21
010 Rondelet,2,14,16,2022,01-15,23:21
011 Plan Cabanes,6,6,12,2022,01-15,23:21
012 Boutonnet,4,8,12,2022,01-15,23:21
013 Emile Combes,6,2,8,2022,01-15,23:21
014 Beaux-Arts,6,2,8,2022,01-15,23:21
015 Les Aubes,7,1,8,2022,01-15,23:21
016 Antigone centre,6,10,16,2022,01-15,23:21
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:21
018 Nombre d'Or,8,8,16,2022,01-15,23:21
019 Louis Blanc,4,12,16,2022,01-15,23:21
020 Gambetta,4,4,8,2022,01-15,23:21
021 Port Marianne,13,3,16,2022,01-15,23:21
022 Clemenceau,0,12,12,2022,01-15,23:21
023 Les Arceaux,7,9,16,2022,01-15,23:21
024 Cité Mion,4,4,8,2022,01-15,23:21
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:21
026 Renouvier,3,5,8,2022,01-15,23:21
027 Odysseum,6,2,8,2022,01-15,23:21
028 Saint-Denis,4,4,8,2022,01-15,23:21
029 Richter,13,3,16,2022,01-15,23:21
030 Charles Flahault,3,5,8,2022,01-15,23:21
031 Voltaire,6,2,8,2022,01-15,23:21
032 Prés d'Arènes,8,0,8,2022,01-15,23:21
033 Garcia Lorca,7,1,8,2022,01-15,23:21
034 Vert Bois,0,16,16,2022,01-15,23:21
035 Malbosc,3,5,8,2022,01-15,23:21
036 Occitanie,2,30,32,2022,01-15,23:21
037 FacdesSciences,2,22,24,2022,01-15,23:21
038 Fac de Lettres,0,16,16,2022,01-15,23:21
039 Aiguelongue,8,0,8,2022,01-15,23:21
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:21
041 Euromédecine,3,5,8,2022,01-15,23:21
042 Marie Caizergues,0,8,8,2022,01-15,23:21
043 Sabines,6,2,8,2022,01-15,23:21
044 Celleneuve,6,2,8,2022,01-15,23:21
045 Jardin de la Lironde,4,4,8,2022,01-15,23:21
046 Père Soulas,1,7,8,2022,01-15,23:21
047 Place Viala,7,1,8,2022,01-15,23:21
048 Hôtel du Département,2,6,8,2022,01-15,23:21
049 Tonnelles,0,8,8,2022,01-15,23:21
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:21
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,23:21
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:21
054 Providence - Ovalie,0,8,8,2022,01-15,23:21
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:21
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:21
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,23:21
059 Sud De France,1,7,8,2022,01-15,23:21
