station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:26
002 Comédie,13,11,24,2022,01-15,23:26
003 Esplanade,2,30,32,2022,01-15,23:26
004 Hôtel de Ville,7,9,16,2022,01-15,23:26
005 Corum,8,4,12,2022,01-15,23:26
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:26
007 Foch,1,7,8,2022,01-15,23:26
008 Halles Castellane,0,12,12,2022,01-15,23:26
009 Observatoire,8,0,8,2022,01-15,23:26
010 Rondelet,2,14,16,2022,01-15,23:26
011 Plan Cabanes,6,6,12,2022,01-15,23:26
012 Boutonnet,4,8,12,2022,01-15,23:26
013 Emile Combes,6,2,8,2022,01-15,23:26
014 Beaux-Arts,6,2,8,2022,01-15,23:26
015 Les Aubes,6,2,8,2022,01-15,23:26
016 Antigone centre,6,10,16,2022,01-15,23:26
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:26
018 Nombre d'Or,8,8,16,2022,01-15,23:26
019 Louis Blanc,4,12,16,2022,01-15,23:26
020 Gambetta,4,4,8,2022,01-15,23:26
021 Port Marianne,13,3,16,2022,01-15,23:26
022 Clemenceau,0,12,12,2022,01-15,23:26
023 Les Arceaux,7,9,16,2022,01-15,23:26
024 Cité Mion,4,4,8,2022,01-15,23:26
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:26
026 Renouvier,3,5,8,2022,01-15,23:26
027 Odysseum,6,2,8,2022,01-15,23:26
028 Saint-Denis,4,4,8,2022,01-15,23:26
029 Richter,13,3,16,2022,01-15,23:26
030 Charles Flahault,3,5,8,2022,01-15,23:26
031 Voltaire,6,2,8,2022,01-15,23:26
032 Prés d'Arènes,8,0,8,2022,01-15,23:26
033 Garcia Lorca,7,1,8,2022,01-15,23:26
034 Vert Bois,0,16,16,2022,01-15,23:26
035 Malbosc,3,5,8,2022,01-15,23:26
036 Occitanie,2,30,32,2022,01-15,23:26
037 FacdesSciences,2,22,24,2022,01-15,23:26
038 Fac de Lettres,0,16,16,2022,01-15,23:26
039 Aiguelongue,8,0,8,2022,01-15,23:26
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:26
041 Euromédecine,3,5,8,2022,01-15,23:26
042 Marie Caizergues,0,8,8,2022,01-15,23:26
043 Sabines,6,2,8,2022,01-15,23:26
044 Celleneuve,6,2,8,2022,01-15,23:26
045 Jardin de la Lironde,4,4,8,2022,01-15,23:26
046 Père Soulas,1,7,8,2022,01-15,23:26
047 Place Viala,4,4,8,2022,01-15,23:26
048 Hôtel du Département,2,6,8,2022,01-15,23:26
049 Tonnelles,0,8,8,2022,01-15,23:26
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:26
051 Pont de Lattes - Gare Saint-Roch,6,6,12,2022,01-15,23:26
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:26
054 Providence - Ovalie,0,8,8,2022,01-15,23:26
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:26
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:26
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,23:26
059 Sud De France,1,7,8,2022,01-15,23:26
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:31
002 Comédie,13,11,24,2022,01-15,23:31
003 Esplanade,2,30,32,2022,01-15,23:31
004 Hôtel de Ville,7,9,16,2022,01-15,23:31
005 Corum,9,3,12,2022,01-15,23:31
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:31
007 Foch,1,7,8,2022,01-15,23:31
008 Halles Castellane,0,12,12,2022,01-15,23:31
009 Observatoire,8,0,8,2022,01-15,23:31
010 Rondelet,2,14,16,2022,01-15,23:31
011 Plan Cabanes,6,6,12,2022,01-15,23:31
012 Boutonnet,4,8,12,2022,01-15,23:31
013 Emile Combes,6,2,8,2022,01-15,23:31
014 Beaux-Arts,6,2,8,2022,01-15,23:31
015 Les Aubes,6,2,8,2022,01-15,23:31
016 Antigone centre,6,10,16,2022,01-15,23:31
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:31
018 Nombre d'Or,8,8,16,2022,01-15,23:31
019 Louis Blanc,4,12,16,2022,01-15,23:31
020 Gambetta,4,4,8,2022,01-15,23:31
021 Port Marianne,13,3,16,2022,01-15,23:31
022 Clemenceau,0,12,12,2022,01-15,23:31
023 Les Arceaux,7,9,16,2022,01-15,23:31
024 Cité Mion,4,4,8,2022,01-15,23:31
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:31
026 Renouvier,3,5,8,2022,01-15,23:31
027 Odysseum,6,2,8,2022,01-15,23:31
028 Saint-Denis,4,4,8,2022,01-15,23:31
029 Richter,13,3,16,2022,01-15,23:31
030 Charles Flahault,3,5,8,2022,01-15,23:31
031 Voltaire,6,2,8,2022,01-15,23:31
032 Prés d'Arènes,8,0,8,2022,01-15,23:31
033 Garcia Lorca,6,2,8,2022,01-15,23:31
034 Vert Bois,0,16,16,2022,01-15,23:31
035 Malbosc,3,5,8,2022,01-15,23:31
036 Occitanie,2,30,32,2022,01-15,23:31
037 FacdesSciences,2,22,24,2022,01-15,23:31
038 Fac de Lettres,0,16,16,2022,01-15,23:31
039 Aiguelongue,8,0,8,2022,01-15,23:31
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:31
041 Euromédecine,3,5,8,2022,01-15,23:31
042 Marie Caizergues,0,8,8,2022,01-15,23:31
043 Sabines,6,2,8,2022,01-15,23:31
044 Celleneuve,6,2,8,2022,01-15,23:31
045 Jardin de la Lironde,4,4,8,2022,01-15,23:31
046 Père Soulas,1,7,8,2022,01-15,23:31
047 Place Viala,4,4,8,2022,01-15,23:31
048 Hôtel du Département,2,6,8,2022,01-15,23:31
049 Tonnelles,0,8,8,2022,01-15,23:31
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:31
051 Pont de Lattes - Gare Saint-Roch,6,6,12,2022,01-15,23:31
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:31
054 Providence - Ovalie,0,8,8,2022,01-15,23:31
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:31
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:31
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,23:31
059 Sud De France,1,7,8,2022,01-15,23:31
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:36
002 Comédie,13,11,24,2022,01-15,23:36
003 Esplanade,2,30,32,2022,01-15,23:36
004 Hôtel de Ville,7,9,16,2022,01-15,23:36
005 Corum,9,3,12,2022,01-15,23:36
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:36
007 Foch,1,7,8,2022,01-15,23:36
008 Halles Castellane,0,12,12,2022,01-15,23:36
009 Observatoire,8,0,8,2022,01-15,23:36
010 Rondelet,2,14,16,2022,01-15,23:36
011 Plan Cabanes,6,6,12,2022,01-15,23:36
012 Boutonnet,4,8,12,2022,01-15,23:36
013 Emile Combes,6,2,8,2022,01-15,23:36
014 Beaux-Arts,6,2,8,2022,01-15,23:36
015 Les Aubes,6,2,8,2022,01-15,23:36
016 Antigone centre,6,10,16,2022,01-15,23:36
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:36
018 Nombre d'Or,8,8,16,2022,01-15,23:36
019 Louis Blanc,4,12,16,2022,01-15,23:36
020 Gambetta,4,4,8,2022,01-15,23:36
021 Port Marianne,13,3,16,2022,01-15,23:36
022 Clemenceau,0,12,12,2022,01-15,23:36
023 Les Arceaux,7,9,16,2022,01-15,23:36
024 Cité Mion,5,3,8,2022,01-15,23:36
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:36
026 Renouvier,3,5,8,2022,01-15,23:36
027 Odysseum,6,2,8,2022,01-15,23:36
028 Saint-Denis,4,4,8,2022,01-15,23:36
029 Richter,13,3,16,2022,01-15,23:36
030 Charles Flahault,3,5,8,2022,01-15,23:36
031 Voltaire,6,2,8,2022,01-15,23:36
032 Prés d'Arènes,8,0,8,2022,01-15,23:36
033 Garcia Lorca,6,2,8,2022,01-15,23:36
034 Vert Bois,0,16,16,2022,01-15,23:36
035 Malbosc,3,5,8,2022,01-15,23:36
036 Occitanie,2,30,32,2022,01-15,23:36
037 FacdesSciences,2,22,24,2022,01-15,23:36
038 Fac de Lettres,0,16,16,2022,01-15,23:36
039 Aiguelongue,8,0,8,2022,01-15,23:36
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:36
041 Euromédecine,3,5,8,2022,01-15,23:36
042 Marie Caizergues,0,8,8,2022,01-15,23:36
043 Sabines,6,2,8,2022,01-15,23:36
044 Celleneuve,6,2,8,2022,01-15,23:36
045 Jardin de la Lironde,4,4,8,2022,01-15,23:36
046 Père Soulas,1,7,8,2022,01-15,23:36
047 Place Viala,4,4,8,2022,01-15,23:36
048 Hôtel du Département,2,6,8,2022,01-15,23:36
049 Tonnelles,0,8,8,2022,01-15,23:36
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:36
051 Pont de Lattes - Gare Saint-Roch,6,6,12,2022,01-15,23:36
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:36
054 Providence - Ovalie,0,8,8,2022,01-15,23:36
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:36
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:36
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,23:36
059 Sud De France,1,7,8,2022,01-15,23:36
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:41
002 Comédie,13,11,24,2022,01-15,23:41
003 Esplanade,2,30,32,2022,01-15,23:41
004 Hôtel de Ville,7,9,16,2022,01-15,23:41
005 Corum,9,3,12,2022,01-15,23:41
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:41
007 Foch,1,7,8,2022,01-15,23:41
008 Halles Castellane,0,12,12,2022,01-15,23:41
009 Observatoire,8,0,8,2022,01-15,23:41
010 Rondelet,2,14,16,2022,01-15,23:41
011 Plan Cabanes,6,6,12,2022,01-15,23:41
012 Boutonnet,4,8,12,2022,01-15,23:41
013 Emile Combes,6,2,8,2022,01-15,23:41
014 Beaux-Arts,6,2,8,2022,01-15,23:41
015 Les Aubes,6,2,8,2022,01-15,23:41
016 Antigone centre,6,10,16,2022,01-15,23:41
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:41
018 Nombre d'Or,8,8,16,2022,01-15,23:41
019 Louis Blanc,4,12,16,2022,01-15,23:41
020 Gambetta,4,4,8,2022,01-15,23:41
021 Port Marianne,13,3,16,2022,01-15,23:41
022 Clemenceau,0,12,12,2022,01-15,23:41
023 Les Arceaux,7,9,16,2022,01-15,23:41
024 Cité Mion,5,3,8,2022,01-15,23:41
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:41
026 Renouvier,3,5,8,2022,01-15,23:41
027 Odysseum,6,2,8,2022,01-15,23:41
028 Saint-Denis,4,4,8,2022,01-15,23:41
029 Richter,13,3,16,2022,01-15,23:41
030 Charles Flahault,3,5,8,2022,01-15,23:41
031 Voltaire,6,2,8,2022,01-15,23:41
032 Prés d'Arènes,8,0,8,2022,01-15,23:41
033 Garcia Lorca,6,2,8,2022,01-15,23:41
034 Vert Bois,0,16,16,2022,01-15,23:41
035 Malbosc,3,5,8,2022,01-15,23:41
036 Occitanie,2,30,32,2022,01-15,23:41
037 FacdesSciences,2,22,24,2022,01-15,23:41
038 Fac de Lettres,0,16,16,2022,01-15,23:41
039 Aiguelongue,8,0,8,2022,01-15,23:41
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:41
041 Euromédecine,3,5,8,2022,01-15,23:41
042 Marie Caizergues,0,8,8,2022,01-15,23:41
043 Sabines,6,2,8,2022,01-15,23:41
044 Celleneuve,6,2,8,2022,01-15,23:41
045 Jardin de la Lironde,4,4,8,2022,01-15,23:41
046 Père Soulas,1,7,8,2022,01-15,23:41
047 Place Viala,6,2,8,2022,01-15,23:41
048 Hôtel du Département,2,6,8,2022,01-15,23:41
049 Tonnelles,0,8,8,2022,01-15,23:41
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:41
051 Pont de Lattes - Gare Saint-Roch,6,6,12,2022,01-15,23:41
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:41
054 Providence - Ovalie,0,8,8,2022,01-15,23:41
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:41
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:41
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,23:41
059 Sud De France,1,7,8,2022,01-15,23:41
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:46
002 Comédie,13,11,24,2022,01-15,23:46
003 Esplanade,2,30,32,2022,01-15,23:46
004 Hôtel de Ville,7,9,16,2022,01-15,23:46
005 Corum,9,3,12,2022,01-15,23:46
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:46
007 Foch,1,7,8,2022,01-15,23:46
008 Halles Castellane,0,12,12,2022,01-15,23:46
009 Observatoire,8,0,8,2022,01-15,23:46
010 Rondelet,2,14,16,2022,01-15,23:46
011 Plan Cabanes,6,6,12,2022,01-15,23:46
012 Boutonnet,4,8,12,2022,01-15,23:46
013 Emile Combes,6,2,8,2022,01-15,23:46
014 Beaux-Arts,6,2,8,2022,01-15,23:46
015 Les Aubes,6,2,8,2022,01-15,23:46
016 Antigone centre,6,10,16,2022,01-15,23:46
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:46
018 Nombre d'Or,8,8,16,2022,01-15,23:46
019 Louis Blanc,4,12,16,2022,01-15,23:46
020 Gambetta,4,4,8,2022,01-15,23:46
021 Port Marianne,13,3,16,2022,01-15,23:46
022 Clemenceau,0,12,12,2022,01-15,23:46
023 Les Arceaux,7,9,16,2022,01-15,23:46
024 Cité Mion,5,3,8,2022,01-15,23:46
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:46
026 Renouvier,3,5,8,2022,01-15,23:46
027 Odysseum,6,2,8,2022,01-15,23:46
028 Saint-Denis,4,4,8,2022,01-15,23:46
029 Richter,13,3,16,2022,01-15,23:46
030 Charles Flahault,3,5,8,2022,01-15,23:46
031 Voltaire,6,2,8,2022,01-15,23:46
032 Prés d'Arènes,8,0,8,2022,01-15,23:46
033 Garcia Lorca,6,2,8,2022,01-15,23:46
034 Vert Bois,0,16,16,2022,01-15,23:46
035 Malbosc,3,5,8,2022,01-15,23:46
036 Occitanie,2,30,32,2022,01-15,23:46
037 FacdesSciences,2,22,24,2022,01-15,23:46
038 Fac de Lettres,0,16,16,2022,01-15,23:46
039 Aiguelongue,8,0,8,2022,01-15,23:46
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:46
041 Euromédecine,3,5,8,2022,01-15,23:46
042 Marie Caizergues,0,8,8,2022,01-15,23:46
043 Sabines,6,2,8,2022,01-15,23:46
044 Celleneuve,6,2,8,2022,01-15,23:46
045 Jardin de la Lironde,4,4,8,2022,01-15,23:46
046 Père Soulas,2,6,8,2022,01-15,23:46
047 Place Viala,6,2,8,2022,01-15,23:46
048 Hôtel du Département,2,6,8,2022,01-15,23:46
049 Tonnelles,0,8,8,2022,01-15,23:46
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:46
051 Pont de Lattes - Gare Saint-Roch,6,6,12,2022,01-15,23:46
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:46
054 Providence - Ovalie,0,8,8,2022,01-15,23:46
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:46
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:46
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,23:46
059 Sud De France,1,7,8,2022,01-15,23:46
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:51
002 Comédie,11,13,24,2022,01-15,23:51
003 Esplanade,2,30,32,2022,01-15,23:51
004 Hôtel de Ville,7,9,16,2022,01-15,23:51
005 Corum,9,3,12,2022,01-15,23:51
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:51
007 Foch,1,7,8,2022,01-15,23:51
008 Halles Castellane,0,12,12,2022,01-15,23:51
009 Observatoire,8,0,8,2022,01-15,23:51
010 Rondelet,2,14,16,2022,01-15,23:51
011 Plan Cabanes,6,6,12,2022,01-15,23:51
012 Boutonnet,4,8,12,2022,01-15,23:51
013 Emile Combes,6,2,8,2022,01-15,23:51
014 Beaux-Arts,6,2,8,2022,01-15,23:51
015 Les Aubes,6,2,8,2022,01-15,23:51
016 Antigone centre,6,10,16,2022,01-15,23:51
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:51
018 Nombre d'Or,8,8,16,2022,01-15,23:51
019 Louis Blanc,4,12,16,2022,01-15,23:51
020 Gambetta,4,4,8,2022,01-15,23:51
021 Port Marianne,13,3,16,2022,01-15,23:51
022 Clemenceau,0,12,12,2022,01-15,23:51
023 Les Arceaux,7,9,16,2022,01-15,23:51
024 Cité Mion,5,3,8,2022,01-15,23:51
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:51
026 Renouvier,3,5,8,2022,01-15,23:51
027 Odysseum,6,2,8,2022,01-15,23:51
028 Saint-Denis,4,4,8,2022,01-15,23:51
029 Richter,13,3,16,2022,01-15,23:51
030 Charles Flahault,3,5,8,2022,01-15,23:51
031 Voltaire,6,2,8,2022,01-15,23:51
032 Prés d'Arènes,8,0,8,2022,01-15,23:51
033 Garcia Lorca,6,2,8,2022,01-15,23:51
034 Vert Bois,0,16,16,2022,01-15,23:51
035 Malbosc,3,5,8,2022,01-15,23:51
036 Occitanie,2,30,32,2022,01-15,23:51
037 FacdesSciences,6,18,24,2022,01-15,23:51
038 Fac de Lettres,0,16,16,2022,01-15,23:51
039 Aiguelongue,8,0,8,2022,01-15,23:51
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:51
041 Euromédecine,3,5,8,2022,01-15,23:51
042 Marie Caizergues,0,8,8,2022,01-15,23:51
043 Sabines,6,2,8,2022,01-15,23:51
044 Celleneuve,6,2,8,2022,01-15,23:51
045 Jardin de la Lironde,4,4,8,2022,01-15,23:51
046 Père Soulas,2,6,8,2022,01-15,23:51
047 Place Viala,6,2,8,2022,01-15,23:51
048 Hôtel du Département,2,6,8,2022,01-15,23:51
049 Tonnelles,0,8,8,2022,01-15,23:51
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:51
051 Pont de Lattes - Gare Saint-Roch,6,6,12,2022,01-15,23:51
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:51
054 Providence - Ovalie,0,8,8,2022,01-15,23:51
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:51
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:51
057 Saint-Guilhem - Courreau,4,4,8,2022,01-15,23:51
059 Sud De France,1,7,8,2022,01-15,23:51
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-15,23:56
002 Comédie,11,13,24,2022,01-15,23:56
003 Esplanade,2,30,32,2022,01-15,23:56
004 Hôtel de Ville,7,9,16,2022,01-15,23:56
005 Corum,9,3,12,2022,01-15,23:56
006 Place Albert 1er - St Charles,9,22,31,2022,01-15,23:56
007 Foch,1,7,8,2022,01-15,23:56
008 Halles Castellane,0,12,12,2022,01-15,23:56
009 Observatoire,8,0,8,2022,01-15,23:56
010 Rondelet,2,14,16,2022,01-15,23:56
011 Plan Cabanes,6,6,12,2022,01-15,23:56
012 Boutonnet,4,8,12,2022,01-15,23:56
013 Emile Combes,6,2,8,2022,01-15,23:56
014 Beaux-Arts,6,2,8,2022,01-15,23:56
015 Les Aubes,6,2,8,2022,01-15,23:56
016 Antigone centre,6,10,16,2022,01-15,23:56
017 Médiathèque Emile Zola,7,9,16,2022,01-15,23:56
018 Nombre d'Or,8,8,16,2022,01-15,23:56
019 Louis Blanc,4,12,16,2022,01-15,23:56
020 Gambetta,4,4,8,2022,01-15,23:56
021 Port Marianne,13,3,16,2022,01-15,23:56
022 Clemenceau,0,12,12,2022,01-15,23:56
023 Les Arceaux,7,9,16,2022,01-15,23:56
024 Cité Mion,5,3,8,2022,01-15,23:56
025 Nouveau Saint-Roch,4,4,8,2022,01-15,23:56
026 Renouvier,3,5,8,2022,01-15,23:56
027 Odysseum,5,3,8,2022,01-15,23:56
028 Saint-Denis,4,4,8,2022,01-15,23:56
029 Richter,13,3,16,2022,01-15,23:56
030 Charles Flahault,3,5,8,2022,01-15,23:56
031 Voltaire,6,2,8,2022,01-15,23:56
032 Prés d'Arènes,8,0,8,2022,01-15,23:56
033 Garcia Lorca,6,2,8,2022,01-15,23:56
034 Vert Bois,0,16,16,2022,01-15,23:56
035 Malbosc,3,5,8,2022,01-15,23:56
036 Occitanie,2,30,32,2022,01-15,23:56
037 FacdesSciences,6,18,24,2022,01-15,23:56
038 Fac de Lettres,0,16,16,2022,01-15,23:56
039 Aiguelongue,8,0,8,2022,01-15,23:56
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,23:56
041 Euromédecine,3,5,8,2022,01-15,23:56
042 Marie Caizergues,1,7,8,2022,01-15,23:56
043 Sabines,6,2,8,2022,01-15,23:56
044 Celleneuve,6,2,8,2022,01-15,23:56
045 Jardin de la Lironde,4,4,8,2022,01-15,23:56
046 Père Soulas,2,6,8,2022,01-15,23:56
047 Place Viala,6,2,8,2022,01-15,23:56
048 Hôtel du Département,2,6,8,2022,01-15,23:56
049 Tonnelles,0,8,8,2022,01-15,23:56
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,23:56
051 Pont de Lattes - Gare Saint-Roch,6,6,12,2022,01-15,23:56
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,23:56
054 Providence - Ovalie,0,8,8,2022,01-15,23:56
055 Pérols Etang de l'Or,23,45,68,2022,01-15,23:56
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,23:56
057 Saint-Guilhem - Courreau,4,4,8,2022,01-15,23:56
059 Sud De France,1,7,8,2022,01-15,23:56
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,2,10,12,2022,01-16,00:01
002 Comédie,11,13,24,2022,01-16,00:01
003 Esplanade,2,30,32,2022,01-16,00:01
004 Hôtel de Ville,7,9,16,2022,01-16,00:01
005 Corum,9,3,12,2022,01-16,00:01
006 Place Albert 1er - St Charles,9,22,31,2022,01-16,00:01
007 Foch,1,7,8,2022,01-16,00:01
008 Halles Castellane,0,12,12,2022,01-16,00:01
009 Observatoire,8,0,8,2022,01-16,00:01
010 Rondelet,2,14,16,2022,01-16,00:01
011 Plan Cabanes,6,6,12,2022,01-16,00:01
012 Boutonnet,4,8,12,2022,01-16,00:01
013 Emile Combes,6,2,8,2022,01-16,00:01
014 Beaux-Arts,6,2,8,2022,01-16,00:01
015 Les Aubes,6,2,8,2022,01-16,00:01
016 Antigone centre,6,10,16,2022,01-16,00:01
017 Médiathèque Emile Zola,7,9,16,2022,01-16,00:01
018 Nombre d'Or,8,8,16,2022,01-16,00:01
019 Louis Blanc,4,12,16,2022,01-16,00:01
020 Gambetta,4,4,8,2022,01-16,00:01
021 Port Marianne,13,3,16,2022,01-16,00:01
022 Clemenceau,0,12,12,2022,01-16,00:01
023 Les Arceaux,7,9,16,2022,01-16,00:01
024 Cité Mion,5,3,8,2022,01-16,00:01
025 Nouveau Saint-Roch,4,4,8,2022,01-16,00:01
026 Renouvier,3,5,8,2022,01-16,00:01
027 Odysseum,4,4,8,2022,01-16,00:01
028 Saint-Denis,4,4,8,2022,01-16,00:01
029 Richter,13,3,16,2022,01-16,00:01
030 Charles Flahault,3,5,8,2022,01-16,00:01
031 Voltaire,6,2,8,2022,01-16,00:01
032 Prés d'Arènes,8,0,8,2022,01-16,00:01
033 Garcia Lorca,6,2,8,2022,01-16,00:01
034 Vert Bois,0,16,16,2022,01-16,00:01
035 Malbosc,3,5,8,2022,01-16,00:01
036 Occitanie,2,30,32,2022,01-16,00:01
037 FacdesSciences,6,18,24,2022,01-16,00:01
038 Fac de Lettres,0,16,16,2022,01-16,00:01
039 Aiguelongue,8,0,8,2022,01-16,00:01
040 Jeu de Mail des Abbés,3,5,8,2022,01-16,00:01
041 Euromédecine,3,5,8,2022,01-16,00:01
042 Marie Caizergues,1,7,8,2022,01-16,00:01
043 Sabines,6,2,8,2022,01-16,00:01
044 Celleneuve,6,2,8,2022,01-16,00:01
045 Jardin de la Lironde,4,4,8,2022,01-16,00:01
046 Père Soulas,2,6,8,2022,01-16,00:01
047 Place Viala,7,1,8,2022,01-16,00:01
048 Hôtel du Département,2,6,8,2022,01-16,00:01
049 Tonnelles,0,8,8,2022,01-16,00:01
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-16,00:01
051 Pont de Lattes - Gare Saint-Roch,6,6,12,2022,01-16,00:01
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-16,00:01
054 Providence - Ovalie,0,8,8,2022,01-16,00:01
055 Pérols Etang de l'Or,23,45,68,2022,01-16,00:01
056 Albert 1er - Cathédrale,1,11,12,2022,01-16,00:01
057 Saint-Guilhem - Courreau,4,4,8,2022,01-16,00:01
059 Sud De France,1,7,8,2022,01-16,00:01
